artista_musical,biografía,Link_información,url_imagen,redes_social,género_musical,información_género,audiencia_Spotify,canción_más_escuchada,reproducciones,url_video,colaboraciones_artistas
Leslie Shaw,"Después de su exitoso paso por ""Perú Tiene Talento"", la carrera de Leslie Shaw despegó, lo que le brindó numerosas oportunidades en la industria del entretenimiento. Reconocida por su versatilidad, Shaw ha demostrado sus habilidades como actriz a través de apariciones en diversas series de televisión y películas peruanas, solidificando así su estatus como una artista multifacética. A pesar de sus logros como actriz, es su destreza musical la que le ha otorgado un reconocimiento generalizado y admiración de fanáticos en todo Perú y más allá.",https://boo.world/es/database/profile/277953/leslie-shaw-personality-type,https://imgmedia.larepublica.pe/1200x630/larepublica/migration/images/H2TCAMTCAZEJ5KLJ5N6YLELMOU.jpg,,Pop|Urbano,,216k,Faldita,22M,https://open.spotify.com/intl-es/track/1R5nCcASgTubHzMx2Ic5UU?si=04de90774cd94a50,
Pascal,"Fue en el 2017, cuando Pascal decidió adentrarse en la industria musical, al aceptar colaborar con el productor peruano Juan Carlos Fernández, con quién grabó ‘Yo quiero’, su primera canción, la cual debutó en la telenovela En la piel de Alicia. Gracias a este primer éxito, Pascal se abrió paso dentro de la industria para componer su primer álbum.",https://es.rollingstone.com/artistas-que-debes-conocer-pascal/,"https://hips.hearstapps.com/hmg-prod/images/pascal101-67cabac51e5dd.png?crop=1xw:0.50025xh;center,top&resize=1200:*",,Pop,,51k,Nos Duele Tanto,12M,https://open.spotify.com/intl-es/track/5Qpe34hyuUgb83zeNk3q5u?si=eb3689cec76a4fc4,
Anna Carina,"El primer sencillo Loco Amor, logró calar rápidamente en el gusto del público juvenil, colocándose en las listas de preferencia de las principales radios locales. Al mismo tiempo que Anna Carina recorría diversos locales presentando lo mejor de su repertorio.",https://www.last.fm/es/music/Anna+Carina/+wiki,https://cloudfront-us-east-1.images.arcpublishing.com/elcomercio/5DDJM6RH2VAPXFCVEZWSARL5LQ.jpg,,Pop,,204k,Amándote,12M,https://open.spotify.com/intl-es/track/4cyMj3kQwS0eIgGtQg3ozR?si=271d9c5469294e7a,
Ezio Oliva,"Cantante Peruano, nació 14 de noviembre del 1988, es cantante y compositor peruano. Se dió a conocer en 2004, en el programa de canto “Súper Star”. En el 2007, formó parte de la banda Ádammo la cual fue galardonada en el 2009 como “Mejor Artista Revelación” en los Premios MTV. Se inició en el grupo Adammo junto a su compañero de banda, pues ambos querían tocar temas que habían compuesto desde la secundaria. En 2015, incursiona como solista lanzando su primer sencillo «Siempre has sido tú», el tema describe su relación con su esposa Karen Schwarz. En 2016, saca sus sencillos «El calendario» y «Ven morena».",https://ezioolivaoficial.com/,https://www.ociolatino.com/wp-content/uploads/2025/03/ezio-oliva-ociolatino.jpg,,Pop,,200k,Como le Hago,14M,https://open.spotify.com/intl-es/track/564R5BpJL2uuSeDfAVhsGH?si=4855aa0429b74099,
Tito Silva Music,"Tito Silva Music es el nombre artístico de Alberto Silva Reyes, un productor musical peruano que se ha hecho conocido a nivel mundial como el creador de la canción “Mi bebito fiu fiu”, un tema que hace referencia a unos chats filtrados atribuidos a Zully Pinchi y que serían dirigidos a Martin Vizcarra, expresidente del Perú.
",https://elcomercio.pe/mag/fama/quien-es-tito-silva-music-el-productor-musical-detras-de-mi-bebito-fiu-fiu-celeb-de-peru-nnda-nnlt-noticia/,https://i.scdn.co/image/ab6761610000e5ebaa7e858512686a919d7ecdaf,,Electrónica|Humor/Viral,,123k,Ya Te Olvide by Tony Rosado - House Remix,1M,https://open.spotify.com/intl-es/track/7w1szyyneS36rhUPP7hIv4?si=5259da614c944107,
Mario Hart,"Paralelamente a su carrera como piloto, Mario Hart desarrolló un interés profundo por la música. Su incursión en este ámbito se tradujo en una mixtura única de estilos, con un énfasis especial en el reguetón y otros géneros urbanos. La música le permitió conectar con un público más amplio y diversificado.",https://www.musica.com/mario-hart/biografia,https://yt3.googleusercontent.com/ytc/AIdro_m68Bayz9rvo_4JKvou69CUXkpTo_Qv12mIt-e59v73LPg=s900-c-k-c0x00ffffff-no-rj,,Urbano,,81k,Ponte Bonita,5M,https://open.spotify.com/intl-es/track/09Ovjyfez6v3SiJMIbiMtc?si=72b8676a18004d4a,
Asmir Young,"Asmir Young, la excantante de Son Tentanción, de gran capacidad interpretativa, buen dominio escénico y cautivadora voz, da el gran salto en su carrera musical e ingresa al género urbano con sus sencillos «Te extrañaré» y “Se supone”, de la mano del emergente sello discográfico The Gold Factory. Ya en el 2018 Asmir sacó su primera canción llamada «Báilame así» junto a EFES Music. También grabó un cover de «Culpables» de Manuel Turizo, el cual tuvo una espectacular acogida.",https://www.peruinforma.com/asmir-youngestrella-de-la-musica-urbana/,https://blog.losheat.tv/wp-content/uploads/2022/01/IMG_03122020_230340_1280_x_720_pixel1.jpg,,Urbano,,54k,Color Esperanza,2M,https://open.spotify.com/intl-es/track/66EjvHmV5hAFCv12sN5oyq?si=3596632b41564001,
Malucci,"Después de tener una fuerte inclinación hacía la música, los 22 años decidió atender esa vocación de manera profesional, adentrándose en los géneros urbanos. Malucci se ha destacado por cantar sus temas en los géneros trap y reguetón. En sus canciones habla de infidelidad, materialismo y deseo, esto sin adornar o esconder la necesidad de encender la pradera.",https://www.buenamusica.com/malucci/biografia,https://www.iberianpress.es/wp-content/uploads/2021/04/malucci.jpg,,Pop|Urbano,,193k,No es Tuyo,24M,https://open.spotify.com/intl-es/track/13GWpvQDWyMSIfxMHpn6TC?si=30c682ef7be5435b,
Flavia Laos,"Como cantante, lanzó el tema musical «Amor infinito» en colaboración con Pablo Heredia en 2017, además de participar en la banda sonora de la telenovela mencionada.  Ese mismo año, Flavia es invitada a participar en el tema oficial del programa Reto de campeones, canción junto al dúo Yamal & George y el productor peruano Daniel Zamudio «la Rana». Seguidamente, colaboró con Nico Ponce para el lanzamiento de su tema a dúo «Muriendo de amor» en 2018.",https://es.wikipedia.org/wiki/Flavia_Laos,https://platform.losheat.tv//media/user/profileImage/046e77.jpeg,,Pop|Urbano,,163k,Darte Like,2M,https://open.spotify.com/intl-es/track/2uaj2ylhwBFhu8397r4G1g?si=25fce73ca4444713,
Dina Paucar,"La vocación de cantante nació cuando ella tenía 14 años, mientras trabajaba como empleada doméstica; nadie imaginaba que sería una estrella. Según Dina, mientras cocinaba imaginaba las melodías y luego las memorizaba. Debe ser por eso que canciones como Madre o Qué lindos son tus ojos, tienen la calidez de la comida recién preparada.",https://www.last.fm/es/music/Dina+Paucar/+wiki,https://portal.andina.pe/EDPfotografia3/Thumbnail/2023/04/04/000947145W.jpg,,Andino,,395k,Mix Dina: Todo Empezó / Que Lindos son tus Ojos,5M,https://open.spotify.com/intl-es/track/0tCl47vT1ac7uzy4gaY0p3?si=7b820c9508f94611,
Los Kjarkas,"Los Kjarkas es un grupo musical boliviano fundado en Capinota en 1965 por los hermanos Hermosa: Wilson, Castel y Gonzalo , más Édgar Villarroel. El nombre del conjunto tiene su origen en la palabra kharka, del quechua sureño, que significa ""temor o recelo"", o también ""temblor"".",https://www.last.fm/es/music/Los+Kjarkas/+wiki,https://perufolkradio.com/wp-content/uploads/2023/06/kjarkas-libre.jpg,,Andino,,452k,Imillitay,12M,https://open.spotify.com/intl-es/track/6A4zk4Jp4VzhVtm73JWqgX?si=d6d00f92cf1a40d7,
Alborada,"La historia del grupo comienza en 1984 cuando Sixto Ayvar funda Alborada en su ciudad natal, Ocobamba. Su música, inspirada básicamente en el folklore del ande peruano, es llevada por Sixtucha a tierras germanas, estableciéndose finalmente en la ciudad de Colonia.",https://www.last.fm/es/music/Alborada/+wiki,https://perufolkradio.com/wp-content/uploads/2021/05/alborada-37-anos.jpg,,Andino|Fusión,,50k,Ananau,3M,https://open.spotify.com/intl-es/track/6YmZbRGGVh8wdMnF2fomGk?si=4b0c07e57a3e439a,
William Luna,"William Luna es compositor por naturaleza, sus primeras composiciones las hizo a los 11 años de edad, sus inspiraciones musicales se basan en el romanticismo andino y ademas en diferentes influencias extranjeras que recoge en un ambiente cosmopolita como es el Cusco, por la misma sociedad en la que vive y por el medio que lo rodea, sobre todo en vivencias propias que las convierte en canciones y su publico se identifica con cada una de sus inspiraciones, cantandolas a viva voz en cada una de sus presentaciones.",https://www.last.fm/es/music/William+Luna/+wiki,https://static.vaope.com/public/artists/7069-LANDING_WILLIAM-LUNA%20(1).jpg,,Andino|Pop,,601k,Niñachay,30M,https://open.spotify.com/intl-es/track/4AyOmpFFeUoqlarPvIDmiu?si=b8f38ba55b374d12,
Pelo D'Ambrosio,"Proviene de una casta de músicos, una vena artística que viene desde Manuel Eustaquio. Su madre es pianista, sus tíos músicos y todos de raíces huanuqueñas. Por parte de su padre es nieto de italiano es por ello el apellido D'Ambrosio. Pelo D'Ambrosio es cantante, músico, compositor, arreglista, Interpreta la primera guitarra, el piano y hace arreglo de cada una de sus canciones y de cada uno de sus instrumentos.",https://www.last.fm/es/music/Pelo+D%27Ambrosio/+wiki,https://musicaandinadelperu.com/wp-content/uploads/2020/07/Pelo-Dambrosio-1-1024x1024.png,,Andino|Fusión|Pop,,232k,Lejos de Ti,12M,https://open.spotify.com/intl-es/track/2KDwGzKce4L1Czz33BGeI5?si=3d6fea1f2e5f4e99,
Milena Warthon,"Cantante y compositora peruana que ha revolucionado la música con su innovador estilo ""Pop Andino"", una fusión única que combina los sonidos modernos del pop con las raíces del folklore andino. Su proyecto va más allá de la música: es un espectáculo completo que integra baile, luces, visuales impactantes y vestuarios vibrantes. A través de su música, Milena no solo celebra la riqueza cultural de los Andes, sino que también transmite poderosos mensajes de empoderamiento femenino y reivindicación cultural. Sus canciones se convierten en himnos que inspiran a las mujeres a abrazar su identidad y fortalecer su confianza, conectando profundamente con diversas audiencias.",https://www.milenawarthon.com/conoceme?srsltid=AfmBOooKalEHmxeL6zlIrGF48MkkgO4qaFNDxI1AEA6dI0ELHL39Yyo7,https://i.ytimg.com/vi/BMRi8N2P-w4/maxresdefault.jpg,,Andino|Pop,,110k,Warmisitay,4M,https://open.spotify.com/intl-es/track/4Y203vnL8mFkVmAVOlSsWG?si=8c144a782db04ec6,
Renata Flores,"Renata Flores Rivera es natural de Huamanga, Ayacucho. Su contacto con la música empezó desde muy pequeña, pero no fue hasta el 2014 cuando participó en La Voz Kids Perú y, tiempo después, subió su primer cover a YouTube, adaptando al quechua la canción “The House of the rising sun”. Desde aquella interpretación frente a la Pampa de Quinua, su esencia se ha mantenido intacta y, con el pasar del tiempo, ha ido añadiendo el activismo a su arte, hasta convertirse en la artista que es ahora.
",https://cosas.pe/personalidades/242903/dia-de-la-mujer-conoce-la-historia-de-renata-flores-una-peruana-de-exportacion/,https://cosasbucket.s3.amazonaws.com/wp-content/uploads/2020/11/05154336/Renata-Flores.jpg,,Urbano|Andino|Hip hop,,73k,Tijeras,590k,https://open.spotify.com/intl-es/track/5qjpID2xzQjJu67a3wP68m?si=44d7dcc51f0148a5,
K'Jantu Perú,"Eduardo y Herbert Quintanilla fundadores del grupo sintieron el llamado de la música desde la adolescencia, su in-clinación por la quena, la zampoña y el charango inicialmente fue como una afición, la cual fue cobrando fuerza con el tiempo, acercándolos a este arte hasta convertirlo en parte importante de sus vidas. Es en 1985 que formalmente se crea la agrupación que gana fama en poco tiempo.",https://www.bitacorarevista.com/kjantu-peru-la-agrupacion-de-los-hermanos-quintanilla/,https://i.scdn.co/image/ab67616d0000b273b9bd3a9474b8ddb57899d4a8,,Andino,,34k,Amargo Amor,3M,https://open.spotify.com/intl-es/track/1QRPFbWkF6Q3zT8e2RXpzP?si=49e05327cb8c49a4,
Lucho Quequezana,"Luis Rafael Quequezana Jaimes, más conocido como Lucho Quequezana, es un músico multiinstrumentalista y compositor de música peruana tradicional. Pese a que en su infancia tuvo un rechazo hacia la música, cuando se mudó a Huancayo se conecta con ella, logrando destacar con el paso del tiempo a nivel nacional, e incluso, llegando a ser reconocido de manera internacional.",https://enfoquemultimedia.com/quien-es-lucho-quequezana/,https://www.infobae.com/resizer/v2/ISNJRQEGJ5ARPJBOILKM7WBP2Y.jpg?auth=37380fe24cf7fb3fb45b22f996b6e6cd58a6fc91b7905c92256c338fece8334b&smart=true&width=1200&height=1200&quality=85,,Andino|Fusión,,35k,Camino al Carnaval,1M,https://open.spotify.com/intl-es/track/5mHSUGEUzWlAGLXGyyENoa?si=f4b4fb00f2c5438d,
Damaris,"Cantautora de música andina contemporánea, ganadora en la competencia folclórica del Festival de la Canción de Viña del Mar 2008. Dámaris inició su carrera artística en 1993, a los 7 años en el taller de música ""Yawar"" (especialidad de charango) y luego estudió canto, música, teatro y danzas peruanado charango en diversos lugares como el Teatro Segura de Lima, Anfiteatro de Miraflores y la Universidad Mayor de San Marcos, entre otros. ",https://www.last.fm/es/music/Damaris/+wiki,https://portal.andina.pe/EDPfotografia2/Thumbnail/2008/01/14/000051603W.jpg,,Andino|Fusión,,86k,Tusuykusun,3M,https://open.spotify.com/intl-es/track/5jY5DSjBzDzVnRzXFsf1mG?si=3cddf15ed4654cd8,
Antologia,"El grupo Antología se fundó en 1999 en la ciudad de Lima por iniciativa de Dilio Galindo Moreno director, primera voz y guitarra base de la tan prestigiosa agrupación, natural de Puquio que está ubicado en el departamento de Ayacucho  y Tato Tincopa quienes propusieron, luego de un concierto del grupo Yawar, al charanguita José Meza Muñoz, acompañarlos en un proyecto musical. Para ese entonces, José Meza Muñoz ya tenía una amplia trayectoria al ser parte de diversos grupos musicales como el dúo hermanos Gaitán Castro, Yawar Inka , Inka Son y Pachacamac en los que participó como charanguista y arreglista musical  en la actualidad se encuentran en EE.UU., natural de la oroya en el departamento de Junín.",https://kulturaperuana.blogspot.com/2017/06/antologia.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgUIKv53LBn9nJeaacb5I5mJakCLPR2uXV5SBcJQ9bn7zIaP4wZ5rj6vrqnPtTDKn9lfWdZ8lbOc-itaNUhxffI76zusYOrKwbBJfJczsQJIhQtcCgFCuJMJpnaVfs5pWnqKRN3qW4qVZpI/s1600/ANTOLOGIA.jpg,,Andino|Fusión,,448k,Mentiras,20M,https://open.spotify.com/intl-es/track/5JytJdfdosmvYeb7BR6Bye?si=c3aa7236c3b44c4d,
Chabuca Granda,"María Isabel Granda y Larco, conocida mundialmente como Chabuca Granda, nació el 3 de septiembre de 1920 en Cotabambas Auraria, Apurímac, Perú. Hija de un ingeniero de minas y una madre trujillana de ascendencia italiana, se trasladó con su familia a Lima en 1923.
Pasó parte de su infancia en el distrito de Barranco, donde empezó a desarrollar su sensibilidad artística. Estudió en el colegio Sagrados Corazones Belén y fue bautizada en la iglesia de los Huérfanos.",https://es.wikipedia.org/wiki/Chabuca_Granda,https://www.miraflores.gob.pe/wp-content/uploads/2020/09/22ACC492-40E4-4669-9EA8-923CA3670DFB.jpeg,,Criollo,,148k,La Flor de la Canela,5M,https://open.spotify.com/intl-es/track/3ciDewwDbazjc7UnDtY4nA?si=3770adcac1d94224,
"Arturo ""Zambo"" Cavero","Arturo ""Zambo"" Cavero fue un destacado cantante peruano nacido en Lima, hijo de Juan Cavero (de Huaral) y Digna Velásquez (de Cañete). Su estilo interpretativo, lleno de intensidad y sabor criollo, lo convirtió en un referente de la música tradicional peruana, especialmente del vals criollo con influencia afroperuana. Fue reconocido internacionalmente y homenajeado en 1987 por la OEA en Washington D.C., junto a otros grandes músicos peruanos. Falleció el 9 de octubre de 2009 a causa de una septicemia. En su honor, el presidente Alan García declaró un día de duelo nacional.","https://en.wikipedia.org/wiki/Arturo_""Zambo""_Cavero",https://cloudfront-us-east-1.images.arcpublishing.com/infobae/MLFDWZE2KVHUXDT427PPY757WE.jpg,,Criollo,,239k,El Chacombo,9M,https://open.spotify.com/intl-es/track/3KpwXsmm3lid47KMCELsGc?si=6d4d824861824aab,
Augusto Polo Campos,"Augusto Polo Campos fue un destacado compositor y cantautor peruano, nacido en Ayacucho en 1932. Es considerado una leyenda de la música criolla y afroperuana por su gran aporte al patrimonio musical del Perú, especialmente en géneros como el vals criollo. Entre sus canciones más emblemáticas destacan “Y se llama Perú” y “Contigo Perú”, que se convirtieron en himnos de identidad nacional. Fue reconocido como Personalidad Meritoria de la Cultura por el Ministerio de Cultura del Perú por su legado artístico y simbólico.",https://es.wikipedia.org/wiki/Augusto_Polo_Campos,https://i.ytimg.com/vi/3JzCb9_vnfQ/hqdefault.jpg,,Criollo,,228K,Contigo Perú,2.8M,https://open.spotify.com/intl-es/track/6L85SyZ5PydvQlnQe1jkzt?si=2c48e52d9db44d89,
Eva Ayllón,"Eva Ayllón, nacida en Lima en 1956, es una reconocida intérprete de música criolla y afroperuana. Inició su carrera en peñas limeñas y ganó popularidad como vocalista de Los Kipus. En 1979 lanzó su primer disco como solista. A lo largo de su trayectoria ha llevado la música peruana a escenarios internacionales y ha colaborado con artistas como Marc Anthony y El Gran Combo. Es considerada una de las máximas exponentes del folclore peruano.",https://www.last.fm/es/music/Eva+Ayllón/+wiki,https://evaayllon.com.pe/wp/wp-content/uploads/2016/09/eva_caja-1024x744.jpg,,Criollo,,712k,Mal Paso,14M,https://open.spotify.com/intl-es/track/3wsEhAmNEiHZzlkWBnXnym?si=da3b04f9fb7142ea,
Carmencita Lara,"Carmencita Lara (nacida Julia Rosa Capristán García) no solo fue una cantante popular: fue un fenómeno cultural, una voz del Perú profundo que cruzó generaciones, géneros y fronteras sin renunciar jamás a su identidad ni a su pueblo. Su historia es la de una mujer que desde el margen construyó un imperio sonoro a base de autenticidad, dolor, pasión y resistencia, que hasta hoy palpita en los barrios, en las provincias, en las rockolas, en la memoria colectiva.",https://www.last.fm/es/music/Carmencita+Lara/+wiki,https://imgmedia.larepublica.pe/640x361/larepublica/migration/images/QNVYXLZYBVGERNSJ4HYXSKXQSQ.webp,,Criollo|Andino,,268k,Mala Sombra,10M,https://open.spotify.com/intl-es/track/50HIoqM5D8xEiRz4tTxsS5?si=9f017b9e002d4230,
"Juan ""Cholo"" Chumbiauca","Chumbiauca Sotelo, conocido como el Cholo Chumbiauca, es un destacado compositor de Chincha, nacido el 19 de enero de 1957. Proviene de una familia musical: su padre era guitarrista y su madre, cantante. Es considerado uno de los grandes referentes de la canción criolla en su región.",https://blogs-angela.blogspot.com/2011/10/un-gran-compositor-chinchano-el-cholo.html,https://imgmedia.larepublica.pe/1200x630/larepublica/migration/images/5NL2NNHHNJFB3L4LBZIUROHCUI.jpg,,Criollo,,(Sin cuenta en spotify como artista),Saca la mano,8.3M,https://open.spotify.com/intl-es/track/2zT0Y84xIrdaGXXYEYi5bL?si=dc1babc06dc348e5,
Lucha Reyes,"Lucila Justina Sarcines Reyes, más conocida como Lucha Reyes, fue una cantante afroperuana de música criolla. Su talento interpretativo le valió los apelativos de la Morena de Oro del Perú y la Reina de la Popularidad.",https://www.wikiwand.com/es/map/Lucha_Reyes_(Perú),https://www.coolt.com/uploads/s1/76/56/7/lucha-reyes-1972-lima-el-comercio.jpeg,,Criollo,,131k,Regresa,6M,https://open.spotify.com/intl-es/track/28QIfk2hJEeoxd3eTyyfrC?si=533d42868c8c4c63,
Manuel Donayre,"Manuel Donayre nació el 24 de noviembre de 1949 en San Luis de Cañete, cuna de la cultura afroperuana. Desde joven mostró talento para el canto y formó parte del Conjunto Cumanana. En los años 70 consolidó su carrera, influenciado por Lucha Reyes. Su primer éxito fue “Secreto” (1976), y en 1980 grabó tres discos en un año. También incursionó en el bolero. Desde 1992 vive en Estados Unidos.",https://es.wikipedia.org/wiki/Manuel_Donayre,https://i1.sndcdn.com/avatars-000046566366-0bfk7f-t500x500.jpg,,Criollo,,44k,Yo Perdí el Corazón,2M,https://open.spotify.com/intl-es/track/0ic3uYsSs1scrYvfJ2qOq5?si=f83cd8f67f4b43b5,
Pepe Vásquez,"Pepe Vásquez (1961–2014) fue un destacado cantautor afroperuano, heredero de una tradición musical de Cañete y Aucallama. Autor de temas emblemáticos como “Jipi Jay” y “Ritmo de Negros”, dejó huella en la música criolla. Recibió reconocimiento oficial por su aporte cultural. Falleció a los 52 años por complicaciones de salud derivadas de la diabetes.",https://es.hispanopedia.com/wiki/Pepe_Vásquez,https://imgmedia.larepublica.pe/1200x630/larepublica/migration/images/A2KRHXE46ZDV7J6IK4B64ZQLFQ.jpg,,Criollo,,63k,Jipi Jay,3M,https://open.spotify.com/intl-es/track/2EtMSByHEY4Wcn9iuFnZ2u?si=dbf88b652f1d439a,
Jaze,"Jaze (Juan Carlos Iwasaki La Puente) es un músico, compositor y freestyler peruano, reconocido por su versatilidad en el freestyle. Fue campeón nacional de Red Bull Batalla Perú 2018 y bicampeón de FMS Perú, liga que ayudó a impulsar junto a Nekroos y Choque. En sus inicios, era conocido por llevar una mochila a sus batallas.",https://rap.fandom.com/es/wiki/Jaze,"https://img.redbull.com/images/q_auto,f_auto/redbullcom/2022/5/19/r7kiq1ifcprzqb1wgs1d/jaze",,Urbano|Hip hop,,588k,Las Consecuencias,20M,https://open.spotify.com/intl-es/track/1pqQwSJVzaGYLbHo845nzZ?si=95a0efdc4d56435f,
A.CHAL,"Alejandro Chal (mejor conocido por su nombre artístico A. CHAL) es un cantautor y productor peruano de R&B. Lanzó su primer EP, Ballroom Riots, en 2013. Su álbum debut de estudio, Welcome to GAZI, lanzó en junio de 2016. El sencillo de Chal, ""Round Whippin '"", fue estrenado por Zane Lowe en 2015. Chal ha actuado en Day N Nite Fest.",https://www.last.fm/es/music/A.CHAL/+wiki,https://www.billboard.com/wp-content/uploads/media/a-chal-2018-cr-epic-records-billboard-1548.jpg?w=942&h=623&crop=1&resize=942%2C623,,Urbano,,548k,000 000,74M,https://open.spotify.com/intl-es/track/5QeUZ1Z4xSCegBXutW3IIt?si=8d9058444e494f00,
Pedro Mo,"Pedro Mo (Pedro Gonzalo Mosqueira), también conocido como Zekatari o Mc Parásito, es un rapero y productor peruano activo desde los años 2000. Su música aborda temas sociales, políticos, urbanos y humanistas, destacando por su estilo lírico, juego de palabras y estructuras complejas, que lo han mantenido vigente hasta hoy.",https://rap.fandom.com/es/wiki/Pedro_Mo,https://cdn-images.dzcdn.net/images/artist/3a8e43ab5cda2e77b81a9590c160c459/500x500-000000-80-0-0.jpg,,Urbano,,50k,En Qué Estás,1.4M,https://open.spotify.com/intl-es/track/0zzRKluCXNHGg6lvIbQnfB?si=c91687beb358404a,
Norick,"Norick (Braulio Norick Gamarra Guevara) es un rapero, productor y freestyler peruano del barrio de Surquillo, Lima. Integrante de Rapper School, es considerado uno de los pilares del hip hop peruano y uno de los mejores exponentes del rap latinoamericano, activo desde los años 90 hasta hoy.",https://rap.fandom.com/es/wiki/Norick,https://f.rpp-noticias.io/2023/08/09/354735_1461461.jpg?imgdimension=look,,Urbano|Hip hop,,556k,Bendecidos,24M,https://open.spotify.com/intl-es/track/2QEkingmea3KHdvw0dy9K3?si=9f8f71314c8b4ce4,
Rapper School,"Rapper School, también conocidos como La Promoción Lunatika, es un grupo de rap peruano formado en 1999 y consolidado en 2001. Surgieron del colegio Scipión E. Llona en Miraflores y son considerados pioneros y pilares del hip hop peruano e hispanohablante. Se mantienen activos hasta la actualidad.",https://rap.fandom.com/es/wiki/Rapper_School,https://lastfm.freetls.fastly.net/i/u/770x0/03eb15558048419693fad7074867f7fd.jpg#03eb15558048419693fad7074867f7fd,,Urbano|Hip hop,,352k,God level 3,14.9M,https://open.spotify.com/intl-es/track/1WiDJ9qyX9y7gROMw7MmmK?si=d7d599646ef84fd3,
Liberato Kani,"Liberato Kani es un rapero y compositor peruano que fusiona el hip hop con música andina, amazónica y afroperuana. Lanzó su primer álbum, Rimay Pueblo, en 2016. Ha realizado presentaciones en escenarios importantes como el Gran Teatro Nacional, Jammin Perú, la Feria Internacional del Libro de Lima y AfueraFest, además de actuar en países como Alemania, Cuba, Chile, España y EE. UU. Estudia educación en la Universidad Enrique Guzmán y Valle, y está comprometido con la lengua quechua y la interculturalidad.",https://www.liberatokani.com/biography,https://elperuano.pe/fotografia/thumbnail/2019/05/16/000059821M.jpg,,Urbano|Andino|Hip hop,,2k,Kaykupani,195k,https://open.spotify.com/intl-es/track/1db3MM6f3RRkNHCanZtC5P?si=359619cfe4cf4c12,
Jota,"Jota Shoy (Juan José Leyva Serrano) es un rapero y freestyler peruano, bicampeón nacional de Red Bull Batalla Perú y subcampeón mundial en 2016. Es considerado uno de los MCs más influyentes del país, destacado por su estilo fluido, sin muletillas y con un flow de vieja escuela, que lo ha hecho respetado en la escena del freestyle en español.",https://rap.fandom.com/es/wiki/Jota,"https://img.redbull.com/images/c_fill,g_auto,w_1350,h_900/q_auto,f_jpg/redbullcom/2023/12/18/xd3xdbklfwknexvqeskn/jota",,Urbano|Hip hop,,49k,2.51,2.4M,https://open.spotify.com/intl-es/track/6Pot0YxQClv0VEyn59UCoq?si=ad659a6ff0944234,
Janice,"Janice Isabel Sánchez Diaz, mejor conocida como Janice es una cantante, rapera y compositora procedente de Perú, reconocida como una de las exponentes femeninas más resaltante en la escena nacional.",https://rap.fandom.com/es/wiki/Janice,https://elcomercio.pe/resizer/OqLPXqdnsWRXNxh0FDLCs9px1eQ=/1200x800/smart/filters:format(jpeg):quality(75)/arc-anglerfish-arc2-prod-elcomercio.s3.amazonaws.com/public/GAK7UB3K55FX3MRYLGHKDW7CNQ.jpg,,Pop|Urbano,,5k,One in a million,576k,https://open.spotify.com/intl-es/track/7dANHNW21jjX8h2NT37SzY?si=78e5575557844b3b,
Gian Marco,"Gian Marco Zignago, nacido el 17 de agosto de 1970 en Lima, es un cantante y compositor peruano, hijo de Regina Alcóver y Javier Zignago. Inició su carrera en los años 90 con discos como Gian Marco (1990), Personal (1992) y Entre la Arena y la Luna (1994). Ganó popularidad también como conductor en TV. Su éxito creció con álbumes como A Tiempo (2002), Resucitar (2004) y 8 (2006), y fue elegido para interpretar el himno oficial de la Copa América Perú 2004.",https://www.cmtv.com.ar/biografia/show.php?bnid=2490&banda=Gian_Marco,https://f.rpp-noticias.io/2024/08/07/380138_1623575.jpg?imgdimension=look,,Pop|Fusión,,2.9M,Te Mentiría,31M,https://open.spotify.com/intl-es/track/3LSRGvBWTdnUBJC32oBFnZ?si=6fce0af6c5434c19,
We the Lion,"Los integrantes de la banda se conocieron en la etapa escolar en donde se reunían después de clases para tocar instrumentos en la casa de Paul; fue el hermano de Paul la principal persona que los inspiró a iniciar como banda en el mundo musical. La banda señala que eligió de nombre ""We the Lion"" (nosotros el león) porque refleja el sentido de “unión de familia y abarca el lado primitivo y natural de la banda”.",https://es.wikipedia.org/wiki/We_the_Lion,https://elcomercio.pe/resizer/sSacykeUWFDskaYFmUxv8-GwRjk=/1200x900/smart/filters:format(jpeg):quality(75)/arc-anglerfish-arc2-prod-elcomercio.s3.amazonaws.com/public/NYAEMSZTWZFPHK6TQKWCY2NQEU.jpg,,Pop|Rock,,86k,Found Love,12M,https://open.spotify.com/intl-es/track/06bP5fBUljQLN6GPEMpiFr?si=f0f98bbc64284122,
Temple Sour,"Temple Sour se formó en 2014 por un grupo de amigos del colegio. Debutaron con la canción ""I Can See the Sun"" y en 2016 lanzaron su primer EP, ""Temple Sour EP"", con gran éxito en plataformas digitales. En 2017, su tema ""Chibola Manyada"" se volvió viral y lideró listas en Movistar Música. En 2018, publicaron su primer álbum de estudio: ""Pasajeros"".","https://emilyczc.home.blog/2019/01/10/temple-sour/#:~:text=Historia,de%20estudio%20titulado%20«Pasajeros».",https://elcomercio-elcomercio-prod.web.arc-cdn.net/resizer/v2/PEL6OPEXVBG6PHHGDLDCA6ZL2A.jpg?auth=6345b8fd8b1d42bbf835632919d5ccff13f7d2b006d3195e6c5b0f7270ad5434&width=680&height=680&smart=true&quality=75,,Reggae/Funk|Rock,,353k,Verte Así,19M,https://open.spotify.com/intl-es/track/1MbZQzTVCbZwdluitjREr1?si=3e7bde042efc4ff8,
